Jennifer Wexton ,Democratic Party 
Andy Biggs ,Republican Party 
Trey Hollingsworth ,Republican Party 
Pete Olson ,Republican Party 
Tom Rice ,Republican Party 
Donald McEachin ,Democratic Party 
Jess Garca ,Democratic Party 
Nydia Velazquez ,Democratic Party 
Tony Cardenas ,Democratic Party 
Will Hurd ,Republican Party 
Vicente González ,Democratic Party 
Marc Veasey ,Democratic Party 
Ilhan Omar ,Democratic Party 
Andy Kim ,Democratic Party 
John B. Larson ,Democratic Party 
Greg Stanton ,Democratic Party 
Ronald Wright ,Republican Party 
Lloyd Smucker ,Republican Party 
Joe Cunningham ,Democratic Party 
Roger Marshall ,Republican Party 
Michael Burgess ,Republican Party 
Joe Neguse ,Democratic Party 
Stephanie Murphy ,Democratic Party 
Van Taylor ,Republican Party 
Ken Calvert ,Republican Party 
Gary Palmer ,Republican Party 
Al Green ,Democratic Party 
Bill Posey ,Republican Party 
Katie Porter ,Democratic Party 
Val Demings ,Democratic Party 
Yvette Clarke ,Democratic Party 
Phil Roe ,Republican Party 
Marcy Kaptur ,Democratic Party 
Ross Spano ,Republican Party 
Richard Hudson ,Republican Party 
Anna Eshoo ,Democratic Party 
Harley Rouda ,Democratic Party 
Andre Carson ,Democratic Party 
Trent Kelly ,Republican Party 
Adam Schiff ,Democratic Party 
Paul Mitchell ,Republican Party 
Brian Mast ,Republican Party 
Judy Chu ,Democratic Party 
Ed Case ,Democratic Party 
Dan Meuser ,Republican Party 
Rick Crawford ,Republican Party 
Patrick McHenry ,Republican Party 
Ted Lieu ,Democratic Party 
Susan Davis ,Democratic Party 
Anthony Gonzalez ,Republican Party 
Don Bacon ,Republican Party 
Tom McClintock ,Republican Party 
Jerry McNerney ,Democratic Party 
Morgan Griffith ,Republican Party 
Jason Smith ,Republican Party 
Scott Tipton ,Republican Party 
Donald Norcross ,Democratic Party 
Josh Harder ,Democratic Party 
Ben Cline ,Republican Party 
Susie Lee ,Democratic Party 
Charlie Crist ,Democratic Party 
Scott Peters ,Democratic Party 
Suzanne Bonamici ,Democratic Party 
Bonnie Watson Coleman ,Democratic Party 
Bruce Westerman ,Republican Party 
Eleanor Holmes Norton ,Democratic Party 
Salud Carbajal ,Democratic Party 
Madeleine Dean ,Democratic Party 
Roger Williams ,Republican Party 
Bill Pascrell ,Democratic Party 
Kenny Marchant ,Republican Party 
Mac Thornberry ,Republican Party 
Dan Crenshaw ,Republican Party 
Kim Schrier ,Democratic Party 
Jimmy Panetta ,Democratic Party 
Eddie Bernice Johnson ,Democratic Party 
Mike Turner ,Republican Party 
Chuck Fleischmann ,Republican Party 
Sheila Jackson Lee ,Democratic Party 
Sam Graves ,Republican Party 
Susan Brooks ,Republican Party 
Greg Steube ,Republican Party 
Elaine Luria ,Democratic Party 
Randy Weber ,Republican Party 
Gregory Meeks ,Democratic Party 
Ted Deutch,Democratic Party 
Ruben Gallego ,Democratic Party 
Abigail Spanberger ,Democratic Party 
Neal Dunn ,Republican Party 
Colin Allred ,Democratic Party 
Raul Grijalva ,Democratic Party 
Steve Cohen ,Democratic Party 
Emanuel Cleaver ,Democratic Party 
Bryan Steil ,Republican Party 
Garret Graves ,Republican Party 
John Garamendi ,Democratic Party 
Debbie Lesko ,Republican Party 
Tom O'Halleran ,Democratic Party 
Troy Balderson ,Republican Party 
Rashida Tlaib ,Democratic Party 
Katherine Clark ,Democratic Party 
John Ratcliffe ,Republican Party 
Steve Chabot ,Republican Party 
Mark Meadows ,Republican Party 
Donna Shalala ,Democratic Party 
Mikie Sherrill ,Democratic Party 
Buddy Carter ,Republican Party 
Mike Quigley ,Democratic Party 
Kevin McCarthy ,Republican Party 
Michael F. Doyle ,Democratic Party 
Ann Wagner ,Republican Party 
Chellie Pingree ,Democratic Party 
John Rutherford ,Republican Party 
Kevin Brady ,Republican Party 
Robin Kelly ,Democratic Party 
Richard Neal ,Democratic Party 
Martha Roby ,Republican Party 
Steve Scalise ,Republican Party 
Paul Cook ,Republican Party 
Glenn Grothman ,Republican Party 
Kathleen Rice ,Democratic Party 
John Rose ,Republican Party 
Antonio Delgado ,Democratic Party 
Don Beyer ,Democratic Party 
Dan Newhouse ,Republican Party 
Hal Rogers ,Republican Party 
John Yarmuth ,Democratic Party 
Russ Fulcher ,Republican Party 
Raja Krishnamoorthi ,Democratic Party 
Greg Pence ,Republican Party 
Sylvia Garcia ,Democratic Party 
Tim Burchett ,Republican Party 
Sanford Bishop,Democratic Party 
Gwen Moore ,Democratic Party 
Alma Adams ,Democratic Party 
Ann McLane Kuster ,Democratic Party 
Derek Kilmer ,Democratic Party 
Xochitl Torres Small ,Democratic Party 
Thomas Suozzi ,Democratic Party 
Alan Lowenthal ,Democratic Party 
Joe Wilson ,Republican Party 
Rosa DeLauro ,Democratic Party 
David Trone ,Democratic Party 
Vicky Hartzler ,Republican Party 
Dan Kildee ,Democratic Party 
John Shimkus ,Republican Party 
Ann Kirkpatrick ,Democratic Party 
Scott DesJarlais ,Republican Party 
Bob Latta ,Republican Party 
Jimmy Gomez ,Democratic Party 
Ted Yoho ,Republican Party 
Doug Lamborn ,Republican Party 
Vern Buchanan ,Republican Party 
Mark E. Green ,Republican Party 
Kelly Armstrong ,Republican Party 
Bill Keating ,Democratic Party 
Ami Bera ,Democratic Party 
Fred Upton ,Republican Party 
Jim Banks ,Republican Party 
Mark Walker ,Republican Party 
Doug LaMalfa ,Republican Party 
Albio Sires ,Democratic Party 
Elissa Slotkin ,Democratic Party 
Peter Welch ,Democratic Party 
Sean Duffy ,Republican Party 
Eric Swalwell ,Democratic Party 
Ben McAdams ,Democratic Party 
Ayanna Pressley ,Democratic Party 
Mike Simpson ,Republican Party 
Filemon Vela Jr.,Democratic Party 
Joyce Beatty ,Democratic Party 
Steven Horsford ,Democratic Party 
Ro Khanna ,Democratic Party 
Haley Stevens ,Democratic Party 
Angie Craig ,Democratic Party 
Deb Haaland ,Democratic Party 
Jamie Raskin ,Democratic Party 
Brad Sherman ,Democratic Party 
Jodey Arrington ,Republican Party 
Joaquin Castro ,Democratic Party 
Mike Kelly ,Republican Party 
Rick Larsen ,Democratic Party 
Doug Collins ,Republican Party 
Jody Hice ,Republican Party 
Lou Correa ,Democratic Party 
Veronica Escobar ,Democratic Party 
Earl Blumenauer ,Democratic Party 
John Moolenaar ,Republican Party 
Virginia Foxx ,Republican Party 
Ken Buck ,Republican Party 
Mark DeSaulnier ,Democratic Party 
Liz Cheney ,Republican Party 
Ron Kind ,Democratic Party 
Diana DeGette ,Democratic Party 
Mike Thompson ,Democratic Party 
Chris Stewart ,Republican Party 
Greg Walden ,Republican Party 
Jared Huffman ,Democratic Party 
Barbara Lee ,Democratic Party 
Pete Visclosky ,Democratic Party 
Peter King ,Republican Party 
Larry Bucshon ,Republican Party 
Lloyd Doggett ,Democratic Party 
Christopher Smith ,Republican Party 
Pete Aguilar ,Democratic Party 
Bradley Byrne ,Republican Party 
Lance Gooden ,Republican Party 
Michael Guest ,Republican Party 
Devin Nunes ,Republican Party 
John Katko ,Republican Party 
Sean Patrick Maloney ,Democratic Party 
Dusty Johnson ,Republican Party 
Andy Barr ,Republican Party 
Denver Riggleman ,Republican Party 
Abby Finkenauer ,Democratic Party 
Joe Courtney ,Democratic Party 
Brian Babin ,Republican Party 
Kurt Schrader ,Democratic Party 
Linda Sánchez ,Democratic Party 
Jim Baird ,Republican Party 
John Joyce ,Republican Party 
Darren Soto ,Democratic Party 
Alexander Mooney ,Republican Party 
Michael McCaul ,Republican Party 
Dutch Ruppersberger ,Democratic Party 
Mike Levin ,Democratic Party 
Katie Hill ,Democratic Party 
Lisa Blunt Rochester ,Democratic Party 
Tom Cole ,Republican Party 
David Kustoff ,Republican Party 
Josh Gottheimer ,Democratic Party 
Robert Aderholt ,Republican Party 
Matt Gaetz ,Republican Party 
Marcia Fudge ,Democratic Party 
Jared Golden ,Democratic Party 
Thomas Massie ,Republican Party 
Tim Walberg ,Republican Party 
Ralph Norman ,Republican Party 
Bill Huizenga ,Republican Party 
Dan Lipinski ,Democratic Party 
Brenda Lawrence ,Democratic Party 
Tom Reed ,Republican Party 
French Hill ,Republican Party 
Gus Bilirakis ,Republican Party 
Susan Wild ,Democratic Party 
Steve Womack ,Republican Party 
Michael Cloud ,Republican Party 
Jeff Van Drew ,Democratic Party 
Anthony Brindisi ,Democratic Party 
Carol Miller ,Republican Party 
Jim Costa ,Democratic Party 
Frank Pallone ,Democratic Party 
Nanette Barragán ,Democratic Party 
Elise Stefanik ,Republican Party 
Brett Guthrie ,Republican Party 
Jim Cooper ,Democratic Party 
Hank Johnson ,Democratic Party 
John Curtis ,Republican Party 
Jackie Walorski ,Republican Party 
Henry Cuellar ,Democratic Party 
Andy Harris ,Republican Party 
Lizzie Fletcher ,Democratic Party 
Barry Loudermilk ,Republican Party 
Anthony G. Brown ,Democratic Party 
Dina Titus ,Democratic Party 
Dean Phillips ,Democratic Party 
Billy Long ,Republican Party 
Mark Takano ,Democratic Party 
Ed Perlmutter ,Democratic Party 
Lori Trahan ,Democratic Party 
Donald Payne Jr. ,Democratic Party 
Jaime Herrera Beutler ,Republican Party 
Justin Amash ,Independent 
Blaine Luetkemeyer ,Republican Party 
Tom Emmer ,Republican Party 
Ted Budd ,Republican Party 
George Holding ,Republican Party 
Ron Estes ,Republican Party 
Adrian Smith ,Republican Party 
Michael Waltz ,Republican Party 
Frederica Wilson ,Democratic Party 
Debbie Mucarsel-Powell ,Democratic Party 
Kay Granger ,Republican Party 
James Comer,Republican Party 
Jahana Hayes ,Democratic Party 
Brian Higgins ,Democratic Party 
Bill Flores ,Republican Party 
Seth Moulton ,Democratic Party 
Mike Bost ,Republican Party 
Ralph Abraham ,Republican Party 
Debbie Dingell ,Democratic Party 
Jim Clyburn ,Democratic Party 
Chrissy Houlahan ,Democratic Party 
Mary Gay Scanlon ,Democratic Party 
Clay Higgins ,Republican Party 
Fred Keller ,Republican Party 
Gil Cisneros ,Democratic Party 
Grace Meng ,Democratic Party 
Brendan Boyle ,Democratic Party 
Adriano Espaillat ,Democratic Party 
Lucy McBath ,Democratic Party 
Cedric Richmond ,Democratic Party 
Chip Roy ,Republican Party 
Lacy Clay ,Democratic Party 
Jim Himes ,Democratic Party 
Jeff Duncan ,Republican Party 
Francis Rooney ,Republican Party 
Mark Pocan ,Democratic Party 
Rob Bishop ,Republican Party 
John Sarbanes ,Democratic Party 
Jose Serrano ,Democratic Party 
Eliot Engel ,Democratic Party 
Glenn Thompson ,Republican Party 
Mo Brooks ,Republican Party 
Bill Johnson ,Republican Party 
Andy Levin ,Democratic Party 
Mark Amodei ,Republican Party 
Drew Ferguson ,Republican Party 
David Rouzer ,Republican Party 
Bill Foster ,Democratic Party 
Karen Bass ,Democratic Party 
Steve Watkins ,Republican Party 
Nita Lowey ,Democratic Party 
William Timmons ,Republican Party 
Jim Hagedorn ,Republican Party 
Bennie Thompson ,Democratic Party 
Steve King ,Republican Party 
Julia Brownley ,Democratic Party 
David Cicilline ,Democratic Party 
James Langevin ,Democratic Party 
Guy Reschenthaler ,Republican Party 
Max Rose ,Democratic Party 
Cathy McMorris Rodgers ,Republican Party 
Paul Gosar ,Republican Party 
Nancy Pelosi ,Democratic Party 
Daniel Webster ,Republican Party 
Brad Schneider ,Democratic Party 
Bobby Rush ,Democratic Party 
Steven Palazzo ,Republican Party 
David Price ,Democratic Party 
Joseph D. Morelle ,Democratic Party 
Warren Davidson ,Republican Party 
Elijah Cummings ,Democratic Party 
Tom Malinowski ,Democratic Party 
Pramila Jayapal ,Democratic Party 
David Joyce ,Republican Party 
Jack Bergman ,Republican Party 
Markwayne Mullin ,Republican Party 
Dave Loebsack ,Democratic Party 
Cheri Bustos ,Democratic Party 
Dwight Evans ,Democratic Party 
Bob Gibbs ,Republican Party 
Greg Gianforte ,Republican Party 
Juan Vargas ,Democratic Party 
Kevin Hern ,Republican Party 
Jim McGovern ,Democratic Party 
TJ Cox ,Democratic Party 
Don Young ,Republican Party 
Jeff Fortenberry ,Republican Party 
Chris Pappas ,Democratic Party 
Jason Crow ,Democratic Party 
Lauren Underwood ,Democratic Party 
Steve Stivers ,Republican Party 
Sharice Davids ,Democratic Party 
Frank Lucas ,Republican Party 
Cindy Axne ,Democratic Party 
Chris Collins ,Republican Party 
Steny Hoyer ,Democratic Party 
Grace Napolitano ,Democratic Party 
Mike Conaway ,Republican Party 
Conor Lamb ,Democratic Party 
Brad Wenstrup ,Republican Party 
Mario Diaz-Balart ,Republican Party 
Joseph P. Kennedy,Democratic Party 
Debbie Wasserman Schultz ,Democratic Party 
Adam Smith ,Democratic Party 
David Schweikert ,Republican Party 
Duncan D. Hunter ,Republican Party 
Jerrold Nadler ,Democratic Party 
John Lewis ,Democratic Party 
Tulsi Gabbard ,Democratic Party 
John Carter ,Republican Party 
Kendra Horn ,Democratic Party 
Tom Graves ,Republican Party 
Rodney Davis ,Republican Party 
Kathy Castor ,Democratic Party 
Danny K. Davis ,Democratic Party 
Zoe Lofgren ,Democratic Party 
Peter DeFazio ,Democratic Party 
Austin Scott ,Republican Party 
Lee Zeldin ,Republican Party 
Gregorio Sablan ,Independent 
G. K. Butterfield ,Democratic Party 
Rob Wittman ,Republican Party 
Michael San Nicolas ,Democratic Party 
Carolyn Maloney ,Democratic Party 
Alcee Hastings ,Democratic Party 
Pete Stauber ,Republican Party 
Ben Ray Lujn ,Democratic Party 
Mike Gallagher ,Republican Party 
Gerry Connolly ,Democratic Party 
Rick Allen ,Republican Party 
Stephen Lynch ,Democratic Party 
Terri Sewell ,Democratic Party 
Mike Johnson ,Republican Party 
Doris Matsui ,Democratic Party 
Hakeem Jeffries ,Democratic Party 
Matt Cartwright ,Democratic Party 
Jim Sensenbrenner ,Republican Party 
Mike Rogers ,Republican Party 
Alfred Lawson ,Democratic Party 
Collin Peterson ,Democratic Party 
Sean Casten ,Democratic Party 
Norma Torres ,Democratic Party 
Betty McCollum ,Democratic Party 
David McKinley ,Republican Party 
Scott Perry ,Republican Party 
Paul Tonko ,Democratic Party 
Lucille Roybal-Allard ,Democratic Party 
Darin LaHood ,Republican Party 
Jackie Speier ,Democratic Party 
Jan Schakowsky ,Democratic Party 
Amata Coleman Radewagen ,Republican Party 
Brian Fitzpatrick ,Republican Party 
David Scott ,Democratic Party 
Rob Woodall ,Republican Party 
Raul Ruiz ,Democratic Party 
Suzan DelBene ,Democratic Party 
Louie Gohmert,Republican Party 
Lois Frankel ,Democratic Party 
Stacey Plaskett ,Democratic Party 
Dennis Heck ,Democratic Party 
Adam Kinzinger ,Republican Party 
Maxine Waters ,Democratic Party 
Tim Ryan ,Democratic Party 
Bobby Scott ,Democratic Party 
Alexandria Ocasio-Cortez ,Democratic Party 
Jim Jordan ,Republican Party 